,問題,回答,,,
415,我要和我的朋友一起去電影院。你會怎樣做？,我還不太確定。,,,
416,我還不太確定。,你和我還有我的朋友一起看電影怎麼樣？,,,
417,你和我還有我的朋友一起看電影怎麼樣？,您和您的朋友打算看什麼電影？,,,
418,您和您的朋友打算看什麼電影？,沒有把握。有沒有一部電影吸引你的目光？,,,
419,沒有把握。有沒有一部電影吸引你的目光？,腦子裡沒有好電影。,,,
420,腦子裡沒有好電影。,你決定去還是不去嗎？,,,
421,你決定去還是不去嗎？,不，謝謝。也許下次吧。,,,
422,你今天上學了嗎？,是的，我今天去學校了。你在嗎？,,,
423,是的，我今天去學校了。你在嗎？,不，我沒去，我病了。,,,
424,不，我沒去，我病了。,太糟糕了。你想要英文課的作業嗎？,,,
425,太糟糕了。你想要英文課的作業嗎？,那就太好了，謝謝。,,,
426,那就太好了，謝謝。,沒問題，不客氣。,,,
427,沒問題，不客氣。,當你生病時，我很樂意為你做同樣的事情。,,,
428,當你生病時，我很樂意為你做同樣的事情。,好的，謝謝。我希望明天在學校見到你。,,,
429,你今天上學了嗎？,我今天上學了。你是否？,,,
430,我今天上學了。你是否？,因為我覺得不舒服，所以無法去上學。,,,
431,因為我覺得不舒服，所以無法去上學。,聽到這個消息我很遺憾。你想要英文課的作業嗎？,,,
432,聽到這個消息我很遺憾。你想要英文課的作業嗎？,我真的很感激，謝謝。,,,
433,我真的很感激，謝謝。,一點也不麻煩。,,,
434,一點也不麻煩。,如果你生病了，我會回報你的恩情。,,,
435,如果你生病了，我會回報你的恩情。,謝謝。如果你感覺好些的話，明天學校見。,,,
436,你今天去學校了嗎？,我今天去學校了。你去過學校了嗎？,,,
437,我今天去學校了。你去過學校了嗎？,我今天沒能去學校，我生病了。,,,
438,我今天沒能去學校，我生病了。,那太糟了。我很樂意給你英文課的作業。,,,
439,那太糟了。我很樂意給你英文課的作業。,非常感謝你，你真是太好了。,,,
440,非常感謝你，你真是太好了。,別提了。,,,
441,別提了。,當你缺課一天時，我很樂意給你英語作業。,,,
442,你聽到這個消息了嗎？,發生了什麼事？,,,
443,發生了什麼事？,我們的表弟上週分娩並生下了她的孩子。,,,
444,我們的表弟上週分娩並生下了她的孩子。,她做過？為什麼沒有人告訴我？,,,
445,她做過？為什麼沒有人告訴我？,我以為有人會告訴你。,,,
446,我以為有人會告訴你。,不，我不知道。,,,
447,不，我不知道。,好吧，她做到了，她的孩子重 8 磅 6 盎司。,,,
448,好吧，她做到了，她的孩子重 8 磅 6 盎司。,天啊，太棒了！,,,
449,天啊，太棒了！,你要去探望她和孩子嗎？,,,
450,你要去探望她和孩子嗎？,我想我可能會。,,,
451,我想我可能會。,好的！我只是想讓你知道。,,,
452,好的！我只是想讓你知道。,謝謝你告訴我。,,,
453,你聽說發生了什麼事嗎？,聽到什麼？,,,
454,聽到什麼？,黛布拉已經有了她的孩子。,,,
455,黛布拉已經有了她的孩子。,我不知道。,,,
456,我不知道。,我以為你知道。,,,
457,我以為你知道。,老實說我不知道。,,,
458,老實說我不知道。,嬰兒重8磅6盎司。,,,
459,嬰兒重8磅6盎司。,聽起來還不錯。,,,
460,聽起來還不錯。,你會去拜訪他們嗎？,,,
461,你會去拜訪他們嗎？,我當然會。,,,
462,我當然會。,我只是想告訴你好消息。,,,
463,我只是想告訴你好消息。,謝謝你讓我知道。,,,
464,你聽說（這件新聞）了嗎？,我什麼也沒聽到。,,,
465,我什麼也沒聽到。,黛布拉上週生了孩子。,,,
466,黛布拉上週生了孩子。,沒人告訴我。,,,
467,沒人告訴我。,我以為你聽到了。,,,
468,我以為你聽到了。,我真的沒有被告知任何事情。,,,
469,我真的沒有被告知任何事情。,她體重 8 磅 6 盎司，很可愛。,,,
470,她體重 8 磅 6 盎司，很可愛。,哇，多麼令人興奮。,,,
471,哇，多麼令人興奮。,我知道，你真的應該去看看她和孩子。,,,
472,我知道，你真的應該去看看她和孩子。,我當然會。,,,
473,我當然會。,我只是想讓你知道發生了什麼事。,,,
474,你今天上學了嗎？,當然。你是否？,,,
475,當然。你是否？,我不想，所以我沒有。,,,
476,我不想，所以我沒有。,真難過，但你最近去看電影了嗎？,,,
477,真難過，但你最近去看電影了嗎？,那是一個開關。,,,
478,那是一個開關。,我是認真的，你呢？,,,
479,我是認真的，你呢？,不，我沒有。為什麼？,,,
480,不，我沒有。為什麼？,這個週末我真的很想去看電影。,,,
481,這個週末我真的很想去看電影。,那就走吧。,,,
482,那就走吧。,我實在不想自己去。,,,
483,我實在不想自己去。,好吧，你明天打算去學校嗎？,,,
484,好吧，你明天打算去學校嗎？,不，我想我要去看電影。,,,
485,你今天到學校了嗎？,我經常做。你今天上學了嗎？,,,
486,我經常做。你今天上學了嗎？,不，我沒有。,,,
487,不，我沒有。,你應該看過，但你最近看過什麼電影嗎？,,,
488,你應該看過，但你最近看過什麼電影嗎？,這是一個奇怪的話題轉換。,,,
489,這是一個奇怪的話題轉換。,也許是這樣，但請回答問題。,,,
490,也許是這樣，但請回答問題。,不，不是最近。,,,
491,不，不是最近。,這個週末我想去看電影。,,,
492,這個週末我想去看電影。,那麼是什麼阻止了你呢？,,,
493,那麼是什麼阻止了你呢？,我不想一個人去。,,,
494,我不想一個人去。,那麼，明天你會去學校嗎？,,,
495,那麼，明天你會去學校嗎？,不，我想去看電影。,,,
496,你今天還懶得去上學嗎？,是的，我去了。你去了嗎？,,,
497,是的，我去了。你去了嗎？,不，我不喜歡。,,,
498,不，我不喜歡。,太好了，你最近去看電影了嗎？,,,
499,太好了，你最近去看電影了嗎？,不，但那是主題的隨機改變。,,,
500,不，但那是主題的隨機改變。,它可能是隨機的，但你有嗎？,,,
501,它可能是隨機的，但你有嗎？,我最近沒有。,,,
502,我最近沒有。,我很想這個週末去看電影。,,,
503,我很想這個週末去看電影。,那麼，你為什麼不走呢？,,,
504,那麼，你為什麼不走呢？,我不想一個人看電影。,,,
505,我不想一個人看電影。,好吧，那你明天去學校嗎？,,,
506,謝謝你今天來看我。,沒問題。無論如何，我真的很想念你。,,,
507,沒問題。無論如何，我真的很想念你。,我也想你。,,,
508,我也想你。,那你為什麼不來見我呢？,,,
509,那你為什麼不來見我呢？,我真的很忙。,,,
510,我真的很忙。,做什麼？,,,
511,做什麼？,在職的。,,,
512,在職的。,我本來想早點來看你的，但我也很忙。,,,
513,我本來想早點來看你的，但我也很忙。,你這陣子都在幹嘛？,,,
514,你這陣子都在幹嘛？,我也一直在工作。,,,
515,我也一直在工作。,不管怎樣，我很高興你來看我。,,,
516,不管怎樣，我很高興你來看我。,我也是。,,,
517,我真的很高興你來看我。,我不得不。我很想念你。,,,
518,我不得不。我很想念你。,我也想念你。,,,
519,我也想念你。,那麼，為什麼不來看我呢？,,,
520,那麼，為什麼不來看我呢？,我最近其實很忙。,,,
521,我最近其實很忙。,你這陣子都在幹嘛？,,,
522,你這陣子都在幹嘛？,我剛剛一直在努力工作。,,,
523,我剛剛一直在努力工作。,我也很忙。,,,
524,我也很忙。,告訴我你一直在做什麼。,,,
525,告訴我你一直在做什麼。,基本上，我也一直在工作。,,,
526,基本上，我也一直在工作。,無論如何，我很高興你能來。,,,
527,無論如何，我很高興你能來。,我也是。,,,
528,我真的很高興你來看我。,我真的很想念你。,,,
529,我真的很想念你。,我瘋狂地想念你。,,,
530,我瘋狂地想念你。,我不明白你為什麼不來看我。,,,
531,我不明白你為什麼不來看我。,最近，我很忙。,,,
532,最近，我很忙。,告訴我你最近在做什麼。,,,
533,告訴我你最近在做什麼。,我最近真的工作很多。,,,
534,我最近真的工作很多。,我自己也很忙。,,,
535,我自己也很忙。,那你最近在忙什麼？,,,
536,那你最近在忙什麼？,我剛剛工作了很多。,,,
537,我剛剛工作了很多。,不管是什麼原因，我很高興你來看我。,,,
538,嘿，你聽說傑西卡這個週末的派對了嗎？,是的，但我還在等待我的邀請。,,,
539,是的，但我還在等待我的邀請。,哦真的嗎？今天早些時候她給了我我的。,,,
540,哦真的嗎？今天早些時候她給了我我的。,好吧，她可能會在今天晚些時候給我邀請。,,,
541,好吧，她可能會在今天晚些時候給我邀請。,是啊，那你打算去嗎？,,,
542,是啊，那你打算去嗎？,我想是這樣。聽起來會很有趣。,,,
543,我想是這樣。聽起來會很有趣。,確實如此，我等不及了。,,,
544,確實如此，我等不及了。,聚會什麼時候開始？,,,
545,聚會什麼時候開始？,8點開始。,,,
546,8點開始。,哦，那麼，到目前為止她已經向多少人發出了邀請？,,,
547,哦，那麼，到目前為止她已經向多少人發出了邀請？,我不確定，但我認為她沒有送出那麼多。,,,
548,我不確定，但我認為她沒有送出那麼多。,好吧，希望她今天晚些時候會給我邀請。,,,
549,你聽說傑西卡週六的派對了嗎？,我聽說過，但我還在等待我的邀請。,,,
550,我聽說過，但我還在等待我的邀請。,真的嗎？今天早上我從她那裡得到了我的。,,,
551,真的嗎？今天早上我從她那裡得到了我的。,我猜她今天或明天會向我發出邀請。,,,
552,我猜她今天或明天會向我發出邀請。,你可能是對的，你打算去參加聚會嗎？,,,
553,你可能是對的，你打算去參加聚會嗎？,我想要。我聽說這會非常有趣。,,,
554,我想要。我聽說這會非常有趣。,我知道，這聽起來確實很棒。,,,
555,我知道，這聽起來確實很棒。,嗯，聚會什麼時候開始？,,,
556,嗯，聚會什麼時候開始？,預計八點左右開始。,,,
557,預計八點左右開始。,她發出了多少張邀請函？,,,
558,她發出了多少張邀請函？,我真的不知道，但我認為她還沒有給那麼多。,,,
559,我真的不知道，但我認為她還沒有給那麼多。,我真的很想去，所以我希望她盡快給我邀請。,,,
560,有人告訴你傑西卡的派對即將舉行嗎？,我已經被告知了。我只是在等待我的邀請。,,,
561,我已經被告知了。我只是在等待我的邀請。,是對的嗎？我早些時候已經收到她的邀請了。,,,
562,是對的嗎？我早些時候已經收到她的邀請了。,我相信她今天會給我邀請。,,,
563,我相信她今天會給我邀請。,你要去嗎？,,,
564,你要去嗎？,是的，聽起來這將是今年最好的派對。,,,
565,是的，聽起來這將是今年最好的派對。,確切地說，這似乎會很有趣。,,,
566,確切地說，這似乎會很有趣。,聚會具體什麼時候開始？,,,
567,聚會具體什麼時候開始？,邀請函上寫著晚上 8:00 開始,,,
568,邀請函上寫著晚上 8:00 開始,她已經發出很多邀請了嗎？,,,
569,她已經發出很多邀請了嗎？,我不知道，不過她還沒給很多。,,,
570,嘿，怎麼了？,真的沒什麼。,,,
571,真的沒什麼。,我星期五要辦一個聚會。,,,
572,我星期五要辦一個聚會。,我沒有意識到這一點。,,,
573,我沒有意識到這一點。,你沒有？,,,
574,你沒有？,沒有人告訴我任何關於你們聚會的事。,,,
575,沒有人告訴我任何關於你們聚會的事。,你想去嗎？,,,
576,你想去嗎？,什麼時候開始？,,,
577,什麼時候開始？,晚上 8:00,,,
578,晚上 8:00,我會在那裡。,,,
579,我會在那裡。,我最好在那裡見到你。,,,
580,我最好在那裡見到你。,當然。,,,
581,你怎麼了？,美好的。你怎麼了？,,,
582,美好的。你怎麼了？,這週五我要舉辦一個聚會。,,,
583,這週五我要舉辦一個聚會。,我不知道。,,,
584,我不知道。,是對的嗎？,,,
585,是對的嗎？,我沒有聽到任何消息。,,,
586,我沒有聽到任何消息。,你可以去嗎？,,,
587,你可以去嗎？,什麼時候？,,,
588,什麼時候？,8點開始。,,,
589,8點開始。,我會去。,,,
590,我會去。,我希望在那裡見到你。,,,
591,我希望在那裡見到你。,毫無疑問。,,,
